Ocupação;Ocupação CBO;Sinônimo Ocupação-completo;
111415;Dirigente do Serviço Público Municipal                                                                                                                ;CHEFE DE ASSESSORIA TÉCNICA DO SERVIÇO PÚBLICO MUNICIPAL                                                                                    
111415;Dirigente do Serviço Público Municipal                                                                                                                ;CHEFE DE GABINETE DO SERVIÇO PÚBLICO MUNICIPAL                                                                                              
111415;Dirigente do Serviço Público Municipal                                                                                                                ;DIRETOR DE DEPARTAMENTO DO  SERVIÇO PÚBLICO MUNICIPAL                                                                                       
111415;Dirigente do Serviço Público Municipal                                                                                                                ;DIRETOR DE DIVISÃO DO SERVIÇO PÚBLICO MUNICIPAL                                                                                             
111415;Dirigente do Serviço Público Municipal                                                                                                                ;FUNCIONÁRIO PÚBLICO MUNICIPAL SUPERIOR                                                                                                      
111415;Dirigente do Serviço Público Municipal                                                                                                                ;SECRETÁRIO MUNICIPAL (SERVIÇO PÚBLICO MUNICIPAL)                                                                                            
113005;Cacique                                                                                                                                               ;MORUBIXABA                                                                                                                                  
113005;Cacique                                                                                                                                               ;TUXAUA                                                                                                                                      
113015;Membro de Lideranca Quilombola                                                                                                                        ;COORDENADOR DE ASSOCIAÇÃO QUILOMBOLA                                                                                                        
113015;Membro de Lideranca Quilombola                                                                                                                        ;LÍDER QUILOMBOLA                                                                                                                            
114105;Dirigente de Partido Político                                                                                                                         ;DIRIGENTE PARTIDÁRIO                                                                                                                        
114105;Dirigente de Partido Político                                                                                                                         ;DIRIGENTE POLÍTICO                                                                                                                          
114105;Dirigente de Partido Político                                                                                                                         ;LÍDER PARTIDÁRIO                                                                                                                            
114205;Dirigentes de Entidades de Trabalhadores                                                                                                              ;ASSISTENTE SINDICAL DE ENTIDADES DE TRABALHADORES                                                                                           
114205;Dirigentes de Entidades de Trabalhadores                                                                                                              ;DIRETOR DE SINDICATO DE TRABALHADORES                                                                                                       
114210;Dirigentes de Entidades Patronais                                                                                                                     ;ASSISTENTE SINDICAL DE ENTIDADES PATRONAIS                                                                                                  
114210;Dirigentes de Entidades Patronais                                                                                                                     ;DIRETOR DE SINDICATO PATRONAL                                                                                                               
114305;Dirigente e Administrador de Organizacao Reli                                                                                                         ;COORDENADOR DE ENTIDADE RELIGIOSA                                                                                                           
